name,platform,r-date,score,user score,developer,genre,players,critics,users
Dark Sector,Xbox360,2008-03-25,72,7.4,DigitalExtremes,Sci-Fi,Up to 10 ,71,151
Dark Sector,Xbox360,2008-03-25,72,7.4,DigitalExtremes,Arcade,Up to 10 ,71,151
Metal Gear Solid V: Metal Gear Online,PlayStation4,2015-10-06,72,7.0,KojimaProductions,Action Adventure,No info,8,79
Metal Gear Solid V: Metal Gear Online,PlayStation4,2015-10-06,72,7.0,KojimaProductions,Open-World,No info,8,79
Super Swing Golf,Wii,2006-12-12,72,7.8,"Tecmo,NtreevSoft",Sports,No Online Multiplayer,44,15
Super Swing Golf,Wii,2006-12-12,72,7.8,"Tecmo,NtreevSoft",Traditional,No Online Multiplayer,44,15
Super Swing Golf,Wii,2006-12-12,72,7.8,"Tecmo,NtreevSoft",Individual,No Online Multiplayer,44,15
Super Swing Golf,Wii,2006-12-12,72,7.8,"Tecmo,NtreevSoft",Golf,No Online Multiplayer,44,15
Super Swing Golf,Wii,2006-12-12,72,7.8,"Tecmo,NtreevSoft",Sim,No Online Multiplayer,44,15
Super Swing Golf,Wii,2006-12-12,72,7.8,"Tecmo,NtreevSoft",Sim,No Online Multiplayer,44,15
The Splatters,Xbox360,2012-04-11,72,8.3,SpikySnailGamesStudio,Puzzle,No info,32,18
The Splatters,Xbox360,2012-04-11,72,8.3,SpikySnailGamesStudio,Miscellaneous,No info,32,18
The Splatters,Xbox360,2012-04-11,72,8.3,SpikySnailGamesStudio,Puzzle,No info,32,18
The Splatters,Xbox360,2012-04-11,72,8.3,SpikySnailGamesStudio,Action,No info,32,18
The Splatters,Xbox360,2012-04-11,72,8.3,SpikySnailGamesStudio,Puzzle,No info,32,18
The Splatters,Xbox360,2012-04-11,72,8.3,SpikySnailGamesStudio,Action,No info,32,18
Majin and the Forsaken Kingdom,PlayStation3,2010-11-23,72,7.9,GameRepublic,Action,No Online Multiplayer,49,42
Majin and the Forsaken Kingdom,PlayStation3,2010-11-23,72,7.9,GameRepublic,Action Adventure,No Online Multiplayer,49,42
Majin and the Forsaken Kingdom,PlayStation3,2010-11-23,72,7.9,GameRepublic,General,No Online Multiplayer,49,42
Majin and the Forsaken Kingdom,PlayStation3,2010-11-23,72,7.9,GameRepublic,Fantasy,No Online Multiplayer,49,42
Majin and the Forsaken Kingdom,PlayStation3,2010-11-23,72,7.9,GameRepublic,General,No Online Multiplayer,49,42
Majin and the Forsaken Kingdom,PlayStation3,2010-11-23,72,7.9,GameRepublic,Fantasy,No Online Multiplayer,49,42
The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running,XboxOne,2018-08-14,72,7.5,TelltaleGames,Adventure,No Online Multiplayer,10,19
The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running,XboxOne,2018-08-14,72,7.5,TelltaleGames,Point-and-Click,No Online Multiplayer,10,19
Fe,Switch,2018-02-16,72,6.8,Zoink!,Action,No Online Multiplayer,13,58
Fe,Switch,2018-02-16,72,6.8,Zoink!,General,No Online Multiplayer,13,58
FIFA Manager 12,PC,2011-10-18,72,4.2,BrightFutureGmbH,Sports,No info,11,28
FIFA Manager 12,PC,2011-10-18,72,4.2,BrightFutureGmbH,Traditional,No info,11,28
FIFA Manager 12,PC,2011-10-18,72,4.2,BrightFutureGmbH,Team,No info,11,28
FIFA Manager 12,PC,2011-10-18,72,4.2,BrightFutureGmbH,Soccer,No info,11,28
FIFA Manager 12,PC,2011-10-18,72,4.2,BrightFutureGmbH,Management,No info,11,28
FIFA Manager 12,PC,2011-10-18,72,4.2,BrightFutureGmbH,Management,No info,11,28
Divinity II: The Dragon Knight Saga,Xbox360,2011-04-12,72,7.9,LarianStudiosGames,Role-Playing,No Online Multiplayer,13,56
Divinity II: The Dragon Knight Saga,Xbox360,2011-04-12,72,7.9,LarianStudiosGames,Miscellaneous,No Online Multiplayer,13,56
Divinity II: The Dragon Knight Saga,Xbox360,2011-04-12,72,7.9,LarianStudiosGames,Action RPG,No Online Multiplayer,13,56
Divinity II: The Dragon Knight Saga,Xbox360,2011-04-12,72,7.9,LarianStudiosGames,Compilation,No Online Multiplayer,13,56
Overlord II,PlayStation3,2009-06-23,72,7.7,TriumphStudios,Action Adventure,2 ,42,27
Overlord II,PlayStation3,2009-06-23,72,7.7,TriumphStudios,Fantasy,2 ,42,27
Overlord II,PlayStation3,2009-06-23,72,7.7,TriumphStudios,General,2 ,42,27
Overlord II,PlayStation3,2009-06-23,72,7.7,TriumphStudios,Fantasy,2 ,42,27
FIFA Soccer 10,PC,2009-10-26,72,4.7,EASports,Sports,No info,14,77
FIFA Soccer 10,PC,2009-10-26,72,4.7,EASports,Traditional,No info,14,77
FIFA Soccer 10,PC,2009-10-26,72,4.7,EASports,Team,No info,14,77
FIFA Soccer 10,PC,2009-10-26,72,4.7,EASports,Soccer,No info,14,77
FIFA Soccer 10,PC,2009-10-26,72,4.7,EASports,Sim,No info,14,77
FIFA Soccer 10,PC,2009-10-26,72,4.7,EASports,Sim,No info,14,77
RollerCoaster Tycoon 3: Complete Edition,Switch,2020-09-24,72,7.8,FrontierDevelopments,Strategy,No Online Multiplayer,18,8
RollerCoaster Tycoon 3: Complete Edition,Switch,2020-09-24,72,7.8,FrontierDevelopments,Management,No Online Multiplayer,18,8
RollerCoaster Tycoon 3: Complete Edition,Switch,2020-09-24,72,7.8,FrontierDevelopments,Business / Tycoon,No Online Multiplayer,18,8
Minecraft Dungeons,Switch,2020-05-26,72,7.1,MojangAB,Action Adventure,Up to 4 ,9,67
Minecraft Dungeons,Switch,2020-05-26,72,7.1,MojangAB,Open-World,Up to 4 ,9,67
Minecraft Dungeons,Switch,2020-05-26,72,7.1,MojangAB,Role-Playing,Up to 4 ,9,67
Minecraft Dungeons,Switch,2020-05-26,72,7.1,MojangAB,Action RPG,Up to 4 ,9,67
Daemon X Machina,PC,2020-02-13,72,6.9,MarvelousFirstStudio,Simulation,Online Multiplayer,21,22
Daemon X Machina,PC,2020-02-13,72,6.9,MarvelousFirstStudio,Vehicle,Online Multiplayer,21,22
Daemon X Machina,PC,2020-02-13,72,6.9,MarvelousFirstStudio,Combat,Online Multiplayer,21,22
de Blob,Switch,2018-06-26,72,7.7,BlueTongueEntertainment,Action,No Online Multiplayer,14,12
de Blob,Switch,2018-06-26,72,7.7,BlueTongueEntertainment,Platformer,No Online Multiplayer,14,12
de Blob,Switch,2018-06-26,72,7.7,BlueTongueEntertainment,3D,No Online Multiplayer,14,12
Dimension Drive,Switch,2017-12-07,72,7.4,2AwesomeStudio,Action,No Online Multiplayer,10,9
Dimension Drive,Switch,2017-12-07,72,7.4,2AwesomeStudio,General,No Online Multiplayer,10,9
Dimension Drive,Switch,2017-12-07,72,7.4,2AwesomeStudio,Shooter,No Online Multiplayer,10,9
Dimension Drive,Switch,2017-12-07,72,7.4,2AwesomeStudio,Shoot-'Em-Up,No Online Multiplayer,10,9
Dimension Drive,Switch,2017-12-07,72,7.4,2AwesomeStudio,Vertical,No Online Multiplayer,10,9
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy,3DS,2017-10-06,72,6.7,Level5,Puzzle,No Online Multiplayer,29,40
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy,3DS,2017-10-06,72,6.7,Level5,General,No Online Multiplayer,29,40
Albion Online,PC,2017-07-17,72,5.2,SandboxInteractive,Role-Playing,Online Multiplayer,8,168
Albion Online,PC,2017-07-17,72,5.2,SandboxInteractive,Massively Multiplayer Online,Online Multiplayer,8,168
Albion Online,PC,2017-07-17,72,5.2,SandboxInteractive,Massively Multiplayer,Online Multiplayer,8,168
Albion Online,PC,2017-07-17,72,5.2,SandboxInteractive,Historic,Online Multiplayer,8,168
